file;Atime;Btime
1-random/000002_000000000002.dimacs;0.09;0.13
1-random/000002_000000000012.dimacs;0.16;0.22
1-random/000004_000000000004.dimacs;0.23;0.29
1-random/000004_000000000024.dimacs;0.31;0.38
1-random/000006_000000000007.dimacs;0.37;0.46
1-random/000006_000000000036.dimacs;0.45;0.56
1-random/000008_000000000009.dimacs;0.52;0.64
1-random/000008_000000000048.dimacs;0.61;0.72
1-random/000010_000000000012.dimacs;0.68;0.79
1-random/000010_000000000060.dimacs;0.78;0.88
1-random/000012_000000000014.dimacs;0.85;0.96
1-random/000012_000000000072.dimacs;0.92;1.07
1-random/000014_000000000016.dimacs;0.99;1.16
1-random/000014_000000000084.dimacs;1.07;1.28
1-random/000016_000000000019.dimacs;1.14;1.36
1-random/000016_000000000096.dimacs;1.23;1.47
1-random/000018_000000000021.dimacs;1.29;1.56
1-random/000018_000000000108.dimacs;1.37;1.68
1-random/000020_000000000024.dimacs;1.44;1.76
1-random/000020_000000000120.dimacs;1.54;1.87
1-random/000022_000000000026.dimacs;1.61;1.94
1-random/000022_000000000132.dimacs;1.7;2.06
1-random/000024_000000000028.dimacs;1.77;2.15
1-random/000024_000000000144.dimacs;1.88;2.27
1-random/000026_000000000031.dimacs;1.95;2.35
1-random/000026_000000000156.dimacs;2.05;2.47
1-random/000028_000000000033.dimacs;2.11;2.55
1-random/000028_000000000168.dimacs;2.21;2.69
1-random/000030_000000000036.dimacs;2.27;2.77
1-random/000030_000000000180.dimacs;2.38;2.9
1-random/000035_000000000042.dimacs;2.44;2.98
1-random/000035_000000000210.dimacs;2.53;3.12
1-random/000040_000000000048.dimacs;2.62;3.2
1-random/000040_000000000240.dimacs;2.74;3.38
1-random/000045_000000000054.dimacs;2.81;3.47
1-random/000045_000000000270.dimacs;2.93;3.64
1-random/000050_000000000060.dimacs;3.0;3.73
1-random/000050_000000000300.dimacs;3.13;3.93
1-random/000055_000000000066.dimacs;3.2;4.02
1-random/000055_000000000330.dimacs;3.35;4.21
1-random/000060_000000000072.dimacs;3.42;4.29
1-random/000060_000000000360.dimacs;3.58;4.49
1-random/000065_000000000078.dimacs;3.67;4.58
1-random/000065_000000000390.dimacs;3.84;4.83
1-random/000070_000000000084.dimacs;3.93;4.91
1-random/000070_000000000420.dimacs;4.09;5.14
1-random/000075_000000000090.dimacs;4.18;5.23
1-random/000075_000000000450.dimacs;4.59;5.6
1-random/000080_000000000096.dimacs;4.68;5.68
1-random/000080_000000000480.dimacs;4.93;6.08
1-random/000085_000000000102.dimacs;5.01;6.18
1-random/000085_000000000510.dimacs;5.76;6.61
1-random/000090_000000000108.dimacs;5.84;6.75
1-random/000090_000000000540.dimacs;6.26;7.15
1-random/000095_000000000114.dimacs;6.35;7.3
1-random/000095_000000000570.dimacs;7.2;7.88
1-random/000100_000000000120.dimacs;7.27;7.99
1-random/000100_000000000600.dimacs;8.33;8.46
1-random/000200_000000000240.dimacs;;8.58
1-random/000200_000000001200.dimacs;;9.95
1-random/000300_000000000360.dimacs;;10.17
1-random/000300_000000001800.dimacs;;12.49
1-random/000400_000000000480.dimacs;;14.32
1-random/000400_000000002400.dimacs;;18.48
1-random/000500_000000000600.dimacs;;19.47
1-random/000500_000000003000.dimacs;;25.62
1-random/000600_000000000720.dimacs;;26.21
1-random/000600_000000003600.dimacs;;35.24
1-random/000700_000000000840.dimacs;;36.11
1-random/000700_000000004200.dimacs;;50.13
1-random/000800_000000000960.dimacs;;51.31
1-random/000800_000000004800.dimacs;;71.34
1-random/000900_000000001080.dimacs;;72.4
1-random/000900_000000005400.dimacs;;101.34
1-random/001000_000000001200.dimacs;;102.8
2-social-networks/00-karate.graph.dimacs;;102.92
2-social-networks/01-dolphins.graph.dimacs;;103.99

file;Atime;Btime
1-random/000002_000000000002.dimacs;0.16;0.09
1-random/000002_000000000012.dimacs;0.26;0.16
1-random/000004_000000000004.dimacs;0.36;0.23
1-random/000004_000000000024.dimacs;0.44;0.31
1-random/000006_000000000007.dimacs;0.54;0.38
1-random/000006_000000000036.dimacs;0.65;0.46
1-random/000008_000000000009.dimacs;0.75;0.53
1-random/000008_000000000048.dimacs;0.86;0.62
1-random/000010_000000000012.dimacs;0.96;0.68
1-random/000010_000000000060.dimacs;1.07;0.76
1-random/000012_000000000014.dimacs;1.17;0.83
1-random/000012_000000000072.dimacs;1.28;0.93
1-random/000014_000000000016.dimacs;1.38;1.0
1-random/000014_000000000084.dimacs;1.48;1.09
1-random/000016_000000000019.dimacs;1.58;1.16
1-random/000016_000000000096.dimacs;1.71;1.24
1-random/000018_000000000021.dimacs;1.82;1.31
1-random/000018_000000000108.dimacs;1.94;1.39
1-random/000020_000000000024.dimacs;2.03;1.46
1-random/000020_000000000120.dimacs;2.15;1.54
1-random/000022_000000000026.dimacs;2.26;1.61
1-random/000022_000000000132.dimacs;2.38;1.69
1-random/000024_000000000028.dimacs;2.48;1.76
1-random/000024_000000000144.dimacs;2.59;1.86
1-random/000026_000000000031.dimacs;2.69;1.94
1-random/000026_000000000156.dimacs;2.81;2.05
1-random/000028_000000000033.dimacs;2.94;2.11
1-random/000028_000000000168.dimacs;3.06;2.22
1-random/000030_000000000036.dimacs;3.37;2.3
1-random/000030_000000000180.dimacs;3.51;2.42
1-random/000035_000000000042.dimacs;3.63;2.48
1-random/000035_000000000210.dimacs;3.76;2.6
1-random/000040_000000000048.dimacs;;2.68
1-random/000040_000000000240.dimacs;;2.79
1-random/000045_000000000054.dimacs;;2.86
1-random/000045_000000000270.dimacs;;2.97
1-random/000050_000000000060.dimacs;;3.03
1-random/000050_000000000300.dimacs;;3.2
1-random/000055_000000000066.dimacs;;3.28
1-random/000055_000000000330.dimacs;;3.43
1-random/000060_000000000072.dimacs;;3.5
1-random/000060_000000000360.dimacs;;3.66
1-random/000065_000000000078.dimacs;;3.74
1-random/000065_000000000390.dimacs;;3.95
1-random/000070_000000000084.dimacs;;4.03
1-random/000070_000000000420.dimacs;;4.43
1-random/000075_000000000090.dimacs;;4.51
1-random/000075_000000000450.dimacs;;4.95
1-random/000080_000000000096.dimacs;;5.03
1-random/000080_000000000480.dimacs;;5.3
1-random/000085_000000000102.dimacs;;5.38
1-random/000085_000000000510.dimacs;;6.07
1-random/000090_000000000108.dimacs;;6.15
1-random/000090_000000000540.dimacs;;6.55
1-random/000095_000000000114.dimacs;;6.63
1-random/000095_000000000570.dimacs;;7.23
1-random/000100_000000000120.dimacs;;7.31
1-random/000100_000000000600.dimacs;;8.36
1-random/000200_000000000240.dimacs;;8.52
