file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.07;2;0;0;;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.07;12;10;2;;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.06;4;0;0;;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.07;24;20;4;;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.07;7;1;1;;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.07;36;30;4;;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.07;9;1;1;;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.07;48;40;7;;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.06;12;2;2;;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.09;60;50;10;;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.07;14;2;1;;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.11;72;60;11;;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.06;16;2;2;;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.16;84;70;13;;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.06;19;3;1;;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.36;96;80;15;;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.06;21;3;2;;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.28;108;91;15;;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.07;24;4;2;;1;OK;OK;0;
1-random/000020_000000000120.dimacs;1.85;120;101;18;;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.06;26;4;3;;1;OK;OK;0;
1-random/000022_000000000132.dimacs;3.65;132;112;19;;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.06;28;4;4;;1;OK;OK;0;
1-random/000024_000000000144.dimacs;31.32;144;124;22;;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.07;31;6;5;;1;OK;OK;0;
1-random/000026_000000000156.dimacs;50.83;156;131;23;;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.07;33;8;4;;1;OK;OK;0;
1-random/000028_000000000168.dimacs;;168;152;0;;0;;;;
1-random/000030_000000000036.dimacs;0.07;36;8;5;;1;OK;OK;0;
1-random/000030_000000000180.dimacs;;180;167;0;;0;;;;
1-random/000035_000000000042.dimacs;0.08;42;7;6;;1;OK;OK;0;
1-random/000035_000000000210.dimacs;;210;202;0;;0;;;;
1-random/000040_000000000048.dimacs;0.09;48;19;7;;1;OK;OK;0;
1-random/000040_000000000240.dimacs;;240;244;0;;0;;;;
1-random/000045_000000000054.dimacs;0.07;54;9;6;;1;OK;OK;0;
1-random/000045_000000000270.dimacs;;270;291;0;;0;;;;
1-random/000050_000000000060.dimacs;0.09;60;13;9;;1;OK;OK;0;
1-random/000050_000000000300.dimacs;;300;339;0;;0;;;;
1-random/000055_000000000066.dimacs;0.09;66;14;8;;1;OK;OK;0;
1-random/000055_000000000330.dimacs;;330;399;0;;0;;;;
1-random/000060_000000000072.dimacs;0.10;72;13;10;;1;OK;OK;0;
1-random/000060_000000000360.dimacs;;360;436;0;;0;;;;
1-random/000065_000000000078.dimacs;0.10;78;20;11;;1;OK;OK;0;
1-random/000065_000000000390.dimacs;;390;547;0;;0;;;;
1-random/000070_000000000084.dimacs;0.12;84;21;12;;1;OK;OK;0;
1-random/000070_000000000420.dimacs;;420;539;0;;0;;;;
1-random/000075_000000000090.dimacs;0.15;90;33;13;;1;OK;OK;0;
1-random/000075_000000000450.dimacs;;450;682;0;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.19;34;78;14;;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;;62;159;0;;0;;;;
2-social-networks/02-chesapeake.graph.dimacs;16.95;39;170;22;;1;OK;OK;0;
2-social-networks/03-adjnoun.graph.dimacs;;112;425;0;;0;;;;
2-social-networks/04-polbooks.graph.dimacs;;105;441;0;;0;;;;
2-social-networks/05-football.graph.dimacs;;115;613;0;;0;;;;
